"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comment"	"Fuller et al. (2007) Transcriptome analysis of human immune responses following live vaccine strain (LVS) Francisella tularensis vaccination. Mol. Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694' target='_blank'>17349694</a>"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"signature response agents file"	"complete signature response agents file"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CD1A"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"CD1A"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CD1B"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"CD1B"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CD1C"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"CD1C"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CD1D"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"CD1D"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CD44"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"CD44"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CD58"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"CD58"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CD68"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"CD68"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CD74"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"CD74"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CD80"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"CD80"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CD81"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"CD81"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CD86"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"CD86"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CDC42"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"CDC42"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"DCP1B"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"DCP1B"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CD209"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"CD209"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"DCSTAMP"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"DCSTAMP"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"DCTN2"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"DCTN2"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"FAS"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"FAS"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"FCER1A"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"FCER1A"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"FCER1G"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"FCER1G"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"FCGR1A"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"FCGR1A"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"FCGR2A"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"FCGR2A"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"FCGR2B"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"FCGR2B"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"RBMS1"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"HCC-4"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"HLA-DMA"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"HLA-DMA"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"HLA-DMB"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"HLA-DMB"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"HLA-DQB1"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"HLA-DQB1"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"HLA-DRB1"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"HLA-DRB1"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"ICAM2"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"ICAM2"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"LILRB4"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"LILRB4"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"ADAM11"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"MDC"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"TAP1"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"TAP1"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CCL17"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"TARC"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"TLR1"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"TLR1"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"TLR2"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"TLR2"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"TLR3"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"TLR3"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"TLR4"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"TLR4"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"TLR5"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"TLR5"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"TLR6"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"TLR6"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"TLR9"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"TLR9"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"HSP90B1"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"TRA1"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CARD8"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"CARD8"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"CARD14"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"CARD14"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"IRAK2"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"IRAK2"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"IRAK4"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"IRAK4"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"MYD88"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"MYD88"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"NOD2"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"NOD2"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
""	"20070709-hipciof_gene_17349694"	"2007.07.09"	"hipciof_gene_19"	"peripheral blood mononuclear cell"	"TIRAP"	"gene expression"	"up"	"none"	"18"	"Hours"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"18hr-0hr"	"time of vaccination (first dose)"	"adults (22-54)"	"17349694"	"2007"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"7"	"126"	"TIRAP"	"hipciof_gene_17349694_126.txt"	"hipciof_gene_complete_17349694_126.txt"
