"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"target pathogen"	"vaccine year (influenza only)"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"gene signature is a model"	"Fuller et al. (2007) Transcriptome analysis of human immune responses following live vaccine strain (LVS) Francisella tularensis vaccination. Mol Immunol PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694' target='_blank'>17349694</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"response component count"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"CD1A"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"CD1A"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"CD1B"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"CD1B"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"CD1C"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"CD1C"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"CD1D"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"CD1D"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"CD81"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"CD81"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"CD86"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"CD86"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"DCP1B"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"DCP1B"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"DCTN2"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"DCTN2"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"CCL21"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"CCL21"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"FCGR1A"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"FCGR1A"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"CCL16"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"CCL16"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"HLA-DMA"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"HLA-DMA"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"HLA-DQB1"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"HLA-DQB1"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"HLA-DRB1"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"HLA-DRB1"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"ICAM2"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"ICAM2"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"LILRB4"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"LILRB4"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"ADAM11"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"ADAM11"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"CCL22"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"CCL22"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"TAP1"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"TAP1"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"TLR1"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"TLR1"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"TLR2"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"TLR2"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"TLR3"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"TLR3"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"TLR4"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"TLR4"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"TLR5"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"TLR5"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"TLR6"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"TLR6"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"TLR9"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"TLR9"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"CARD8"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"CARD8"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"CARD9"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"CARD9"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"CARD10"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"CARD10"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"CARD14"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"CARD14"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"IRAK2"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"IRAK2"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"IRAK4"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"IRAK4"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"IRAK1BP1"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"IRAK1BP1"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"MYD88"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"MYD88"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"NOD1"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"NOD1"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"NOD2"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"NOD2"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
""	"hipc_gene_17349694_9"	"2007.05"	"hipc_gene_17349694_9"	"peripheral blood mononuclear cell"	"TIRAP"	"gene expression"	"up"	"none"	"192"	"Hours"	"time of vaccination (first dose)"	"192h-0h"	"francisella tularensis"	""	"F. tularensis vaccine LVS"	"VO_0000271"	""	"adults (22-54)"	"17349694"	"2007"	"Fig 6"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=17349694"	"adults"	"22"	"54"	"years"	"9"	"137"	"TIRAP"	"45"	"hipc_gene_sig_17349694_9.txt"	"hipc_gene_sig_complete_17349694_9.txt"
